node_label	node_type	node_count	example_files
proton motive force	BIOLOGICAL_PROCESS	12	data/traits/environment/aerobic.yaml|data/traits/environment/optimum_phenotype_with_numerical_limits.yaml|data/traits/environment/ph_delta_mid1.yaml
compatible solute accumulation	BIOLOGICAL_PROCESS	12	data/traits/environment/growth_range_phenotype_with_numerical_limits.yaml|data/traits/environment/halotolerant.yaml|data/traits/environment/moderately_halophilic.yaml
na+/h+ antiporter	GENE_OR_PROTEIN	8	data/traits/environment/alkaphilic.yaml|data/traits/environment/euryhaline.yaml|data/traits/environment/extremely_halophilic.yaml
homeoviscous adaptation	BIOLOGICAL_PROCESS	7	data/traits/environment/delta_phenotype_with_numerical_limits.yaml|data/traits/environment/temperature_optimum.yaml|data/traits/environment/temperature_optimum_mid1.yaml
mreb	GENE_OR_PROTEIN	7	data/traits/morphology/bacillus_shaped.yaml|data/traits/morphology/cell_shape.yaml|data/traits/morphology/coccobacillus_shaped.yaml
septal peptidoglycan synthesis	BIOLOGICAL_PROCESS	7	data/traits/morphology/cell_length_small.yaml|data/traits/morphology/coccus_shaped.yaml|data/traits/morphology/diplococcus_shaped.yaml
na+/h+ antiporter activity	MOLECULAR_FUNCTION	6	data/traits/environment/haloalkaliphilic.yaml|data/traits/environment/ph_delta_mid2.yaml|data/traits/environment/ph_delta_very_low.yaml
atp	CHEMICAL	6	data/traits/metabolism/acetogenesis.yaml|data/traits/metabolism/carbon_fixation.yaml|data/traits/metabolism/oxygenic_photosynthesis.yaml
atp synthase	GENE_OR_PROTEIN	6	data/traits/metabolism/aerobic_respiration.yaml|data/traits/metabolism/fermentation.yaml|data/traits/metabolism/homoacetogenesis.yaml
acetyl-coa	CHEMICAL	6	data/traits/metabolism/carbon_fixation.yaml|data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml|data/traits/metabolism/mixed_acid_fermentation.yaml
precursor metabolites	CHEMICAL	6	data/traits/physiology/autotrophic.yaml|data/traits/physiology/chemoheterotrophic.yaml|data/traits/physiology/chemoorganoheterotrophic.yaml
host colonization	BIOLOGICAL_PROCESS	5	data/traits/ecology/commensalism.yaml|data/traits/ecology/host_associated.yaml|data/traits/ecology/parasitism.yaml
trehalose	CHEMICAL	5	data/traits/environment/desiccation_tolerant.yaml|data/traits/environment/facultative_psychrophilic.yaml|data/traits/environment/psychrophilic.yaml
alkaline ph homeostasis	BIOLOGICAL_PROCESS	5	data/traits/environment/haloalkaliphilic.yaml|data/traits/environment/ph_delta_low.yaml|data/traits/environment/ph_delta_mid2.yaml
temperature decrease	ENVIRONMENTAL_FACTOR	5	data/traits/environment/mesophilic.yaml|data/traits/environment/temperature_delta_low.yaml|data/traits/environment/temperature_optimum_mid2.yaml
na+/h+ antiporters	GENE_OR_PROTEIN	5	data/traits/environment/nacl_optimum.yaml|data/traits/environment/optimum_phenotype_with_numerical_limits.yaml|data/traits/environment/ph_delta_high.yaml
f0f1-atpase	GENE_OR_PROTEIN	5	data/traits/environment/ph_delta_high.yaml|data/traits/environment/ph_delta_mid1.yaml|data/traits/environment/ph_delta_mid3.yaml
formate	CHEMICAL	5	data/traits/metabolism/acetogenesis.yaml|data/traits/metabolism/homoacetogenesis.yaml|data/traits/metabolism/mixed_acid_fermentation.yaml
oxygen	CHEMICAL	5	data/traits/metabolism/electron_transfer.yaml|data/traits/metabolism/oxidative_phosphorylation.yaml|data/traits/morphology/carboxysome.yaml
mrec	GENE_OR_PROTEIN	5	data/traits/morphology/cell_width_medium.yaml|data/traits/morphology/cell_width_small.yaml|data/traits/morphology/fusiform_shaped.yaml
membrane proton permeability	QUALITY	4	data/traits/environment/facultatively_acidophilic.yaml|data/traits/environment/ph_delta.yaml|data/traits/environment/ph_delta_mid3.yaml
compatible-solute accumulation	BIOLOGICAL_PROCESS	4	data/traits/environment/nacl_delta_high.yaml|data/traits/environment/nacl_optimum.yaml|data/traits/environment/optimum_phenotype_with_numerical_limits.yaml
acidic proteome	QUALITY	4	data/traits/environment/nacl_delta_high.yaml|data/traits/environment/nacl_optimum.yaml|data/traits/environment/nacl_optimum_high.yaml
maximal growth rate	BIOLOGICAL_PROCESS	4	data/traits/environment/nacl_optimum.yaml|data/traits/environment/ph_optimum.yaml|data/traits/environment/pressure_optimum.yaml
amino-acid decarboxylation	BIOLOGICAL_PROCESS	4	data/traits/environment/neutrophilic.yaml|data/traits/environment/optimum_phenotype_with_numerical_limits.yaml|data/traits/environment/ph_growth_preference.yaml
sulfite	CHEMICAL	4	data/traits/metabolism/disproportionation.yaml|data/traits/metabolism/dissimilatory_sulfate_reduction.yaml|data/traits/morphology/sulfur_globule.yaml
flhf	GENE_OR_PROTEIN	4	data/traits/morphology/amphitrichous.yaml|data/traits/morphology/flagellar_arrangement.yaml|data/traits/morphology/lophotrichous.yaml
flig	GENE_OR_PROTEIN	4	data/traits/morphology/amphitrichous.yaml|data/traits/morphology/flagellar_arrangement.yaml|data/traits/morphology/lophotrichous.yaml
lateral cell-wall elongation	BIOLOGICAL_PROCESS	4	data/traits/morphology/bacillus_shaped.yaml|data/traits/morphology/coccus_shaped.yaml|data/traits/morphology/rod_shaped.yaml
crt enzymes	GENE_OR_PROTEIN	4	data/traits/morphology/carotenoid_pigmentation.yaml|data/traits/morphology/orange_pigmented.yaml|data/traits/morphology/pink_pigmented.yaml
rod-complex peptidoglycan synthesis	BIOLOGICAL_PROCESS	4	data/traits/morphology/cell_width.yaml|data/traits/morphology/cell_width_large.yaml|data/traits/morphology/cell_width_medium.yaml
peripheral peptidoglycan synthesis	BIOLOGICAL_PROCESS	4	data/traits/morphology/coccus_shaped.yaml|data/traits/morphology/ellipsoidal.yaml|data/traits/morphology/oval_shaped.yaml
photosynthetic reaction center	GENE_OR_PROTEIN	4	data/traits/physiology/photoheterotrophic.yaml|data/traits/physiology/photolithotrophic.yaml|data/traits/physiology/photoorganoheterotrophic.yaml
environmental stress	ENVIRONMENTAL_FACTOR	3	data/traits/ecology/habitat_association.yaml|data/traits/physiology/stress_response.yaml|data/traits/physiology/viable_but_nonculturable_state.yaml
quinone pool	CHEMICAL	3	data/traits/environment/aerobic.yaml|data/traits/metabolism/oxidative_phosphorylation.yaml|data/traits/physiology/chemoorganotrophic.yaml
mrp na+/h+ antiporter complex	GENE_OR_PROTEIN	3	data/traits/environment/alkaphilic.yaml|data/traits/environment/ph_range_high.yaml|data/traits/environment/ph_range_mid3.yaml
numerical environmental axis	ENVIRONMENTAL_FACTOR	3	data/traits/environment/delta_phenotype_with_numerical_limits.yaml|data/traits/environment/growth_range_phenotype_with_numerical_limits.yaml|data/traits/environment/optimum_phenotype_with_numerical_limits.yaml
compatible-solute transport	MOLECULAR_FUNCTION	3	data/traits/environment/euryhaline.yaml|data/traits/environment/halophily_preference.yaml|data/traits/environment/halotolerant.yaml
cold-shock proteins	GENE_OR_PROTEIN	3	data/traits/environment/facultative_psychrophilic.yaml|data/traits/environment/psychrophilic.yaml|data/traits/environment/temperature_range_low.yaml
na+/h+ antiport activity	MOLECULAR_FUNCTION	3	data/traits/environment/facultatively_alkaphilic.yaml|data/traits/environment/nacl_optimum.yaml|data/traits/environment/ph_range_mid3.yaml
ectabc operon	GENE_OR_PROTEIN	3	data/traits/environment/halophilic.yaml|data/traits/environment/halotolerant.yaml|data/traits/environment/nacl_range_mid2.yaml
water flux across cytoplasmic membrane	BIOLOGICAL_PROCESS	3	data/traits/environment/halophily_preference.yaml|data/traits/environment/non_halophilic.yaml|data/traits/environment/stenohaline.yaml
osmotic upshift	ENVIRONMENTAL_FACTOR	3	data/traits/environment/nacl_delta_mid1.yaml|data/traits/environment/non_halophilic.yaml|data/traits/environment/stenohaline.yaml
l-proline	CHEMICAL	3	data/traits/environment/nacl_optimum_mid1.yaml|data/traits/environment/nacl_optimum_mid2.yaml|data/traits/environment/salinity_phenotype_with_numerical_limits.yaml
cytoplasmic buffering capacity	CAPACITY	3	data/traits/environment/neutrophilic.yaml|data/traits/environment/ph_delta_high.yaml|data/traits/environment/ph_optimum.yaml
intracellular ph homeostasis	BIOLOGICAL_PROCESS	3	data/traits/environment/optimum_phenotype_with_numerical_limits.yaml|data/traits/environment/ph_optimum_mid2.yaml|data/traits/environment/ph_range_mid3.yaml
metabolite decarboxylation pathways	PATHWAY	3	data/traits/environment/ph_delta_high.yaml|data/traits/environment/ph_optimum.yaml|data/traits/environment/ph_optimum_mid2.yaml
external ph stress	ENVIRONMENTAL_FACTOR	3	data/traits/environment/ph_delta_low.yaml|data/traits/environment/ph_delta_mid2.yaml|data/traits/environment/ph_delta_very_low.yaml
proton-pumping respiratory complexes	GENE_OR_PROTEIN	3	data/traits/environment/ph_delta_mid2.yaml|data/traits/environment/ph_delta_mid3.yaml|data/traits/environment/ph_optimum_low.yaml
membrane unsaturated fatty acids	CHEMICAL	3	data/traits/environment/pressure_optimum.yaml|data/traits/environment/temperature_delta_low.yaml|data/traits/environment/temperature_delta_mid1.yaml
fatty acid desaturase activity	MOLECULAR_FUNCTION	3	data/traits/environment/temperature_optimum_very_low.yaml|data/traits/environment/temperature_phenotype_with_numerical_limits.yaml|data/traits/environment/temperature_range_low.yaml
cytosine deamination	BIOLOGICAL_PROCESS	3	data/traits/genomics/gc_content.yaml|data/traits/genomics/gc_high.yaml|data/traits/genomics/gc_mid2.yaml
oligotrophic environment	ENVIRONMENTAL_FACTOR	3	data/traits/genomics/genome_streamlining.yaml|data/traits/morphology/cell_length_very_small.yaml|data/traits/morphology/cell_width_very_small.yaml
nadh dehydrogenase (complex i)	GENE_OR_PROTEIN	3	data/traits/metabolism/electron_transfer.yaml|data/traits/physiology/organoheterotrophic.yaml|data/traits/physiology/organotrophic.yaml
atp production	BIOLOGICAL_PROCESS	3	data/traits/metabolism/metabolism.yaml|data/traits/metabolism/proteorhodopsin_phototrophy.yaml|data/traits/physiology/photoheterotrophic.yaml
rod complex	GENE_OR_PROTEIN	3	data/traits/morphology/bacillus_shaped.yaml|data/traits/morphology/cell_width_very_small.yaml|data/traits/morphology/rod_shaped.yaml
roda-pbp2 complex	GENE_OR_PROTEIN	3	data/traits/morphology/cell_length_medium.yaml|data/traits/morphology/cell_width_medium.yaml|data/traits/morphology/rod_shaped.yaml
crescentin	GENE_OR_PROTEIN	3	data/traits/morphology/cell_shape.yaml|data/traits/morphology/crescent_shaped.yaml|data/traits/morphology/ring_shaped.yaml
peptidoglycan polymerization and crosslinking	BIOLOGICAL_PROCESS	3	data/traits/morphology/cell_width_large.yaml|data/traits/morphology/cell_width_medium.yaml|data/traits/morphology/cell_width_small.yaml
planar envelope growth	BIOLOGICAL_PROCESS	3	data/traits/morphology/disc_shaped.yaml|data/traits/morphology/square_shaped.yaml|data/traits/morphology/triangular_shaped.yaml
ion motive force	BIOLOGICAL_PROCESS	3	data/traits/morphology/flagellated.yaml|data/traits/morphology/motile.yaml|data/traits/morphology/motility.yaml
crystal violet-iodine complex	CHEMICAL	3	data/traits/morphology/gram_negative.yaml|data/traits/morphology/gram_positive.yaml|data/traits/morphology/gram_stain.yaml
pilb extension atpase	GENE_OR_PROTEIN	3	data/traits/morphology/motile.yaml|data/traits/morphology/motility.yaml|data/traits/morphology/twitching_motility.yaml
pilt retraction atpase	GENE_OR_PROTEIN	3	data/traits/morphology/motile.yaml|data/traits/morphology/motility.yaml|data/traits/morphology/twitching_motility.yaml
type iv pilus retraction	BIOLOGICAL_PROCESS	3	data/traits/morphology/motile.yaml|data/traits/morphology/motility.yaml|data/traits/morphology/twitching_motility.yaml
forespore engulfment	BIOLOGICAL_PROCESS	3	data/traits/morphology/spore_forming.yaml|data/traits/morphology/spore_shaped.yaml|data/traits/morphology/sporulation.yaml
nutrient limitation	ENVIRONMENTAL_FACTOR	3	data/traits/morphology/sporulation.yaml|data/traits/physiology/oligotrophic.yaml|data/traits/physiology/stress_response.yaml
carbon-concentrating mechanism	BIOLOGICAL_PROCESS	3	data/traits/physiology/autotrophic.yaml|data/traits/physiology/chemoautotrophic.yaml|data/traits/physiology/photoautotrophic.yaml
immune evasion	BIOLOGICAL_PROCESS	2	data/traits/ecology/animal_pathogen.yaml|data/traits/ecology/symbiosis.yaml
bacterial adhesins	GENE_OR_PROTEIN	2	data/traits/ecology/animal_pathogen.yaml|data/traits/ecology/gut_associated.yaml
type iii secretion system	GENE_OR_PROTEIN	2	data/traits/ecology/animal_pathogen.yaml|data/traits/ecology/plant_pathogen.yaml
biogeographic community structure	QUALITY	2	data/traits/ecology/free_living.yaml|data/traits/ecology/habitat_association.yaml
antibiotic tolerance	BIOLOGICAL_PROCESS	2	data/traits/ecology/pathogenic_to_host.yaml|data/traits/physiology/persister_cell_formation.yaml
low proton permeability membrane	CELLULAR_LOCALIZATION	2	data/traits/environment/acidophilic.yaml|data/traits/environment/obligately_acidophilic.yaml
reversed membrane potential	BIOLOGICAL_PROCESS	2	data/traits/environment/acidophilic.yaml|data/traits/environment/obligately_acidophilic.yaml
low passive proton permeability	QUALITY	2	data/traits/environment/acidophilic.yaml|data/traits/environment/ph_range_very_low.yaml
inward proton leakage	BIOLOGICAL_PROCESS	2	data/traits/environment/acidotolerant.yaml|data/traits/environment/ph_delta_high.yaml
anaerobic growth	BIOLOGICAL_PROCESS	2	data/traits/environment/aerotolerant.yaml|data/traits/environment/microaerotolerant.yaml
arsc arsenate reductase	GENE_OR_PROTEIN	2	data/traits/environment/arsenic_tolerant.yaml|data/traits/environment/metal_tolerant.yaml
czc cation-efflux system	GENE_OR_PROTEIN	2	data/traits/environment/cadmium_tolerant.yaml|data/traits/environment/zinc_tolerant.yaml
osmotic imbalance	BIOLOGICAL_PROCESS	2	data/traits/environment/euryhaline.yaml|data/traits/environment/stenohaline.yaml
salinity-adaptation genes	GENE_OR_PROTEIN	2	data/traits/environment/euryhaline.yaml|data/traits/environment/stenohaline.yaml
unsaturated and branched-chain fatty acids	CHEMICAL	2	data/traits/environment/facultative_psychrophilic.yaml|data/traits/environment/psychrophilic.yaml
extracellular polymeric substances (eps)	CHEMICAL	2	data/traits/environment/facultative_psychrophilic.yaml|data/traits/environment/psychrotolerant.yaml
proton export pumps and antiporters	GENE_OR_PROTEIN	2	data/traits/environment/facultatively_acidophilic.yaml|data/traits/environment/obligately_acidophilic.yaml
cytoplasmic buffering	BIOLOGICAL_PROCESS	2	data/traits/environment/facultatively_acidophilic.yaml|data/traits/environment/ph_range_mid2.yaml
anaerobic metabolism	BIOLOGICAL_PROCESS	2	data/traits/environment/facultatively_aerobic.yaml|data/traits/environment/obligately_anaerobic.yaml
f1fo-atp synthase	GENE_OR_PROTEIN	2	data/traits/environment/facultatively_alkaphilic.yaml|data/traits/environment/ph_range_high.yaml
oxidative stress	BIOLOGICAL_PROCESS	2	data/traits/environment/halophilic.yaml|data/traits/environment/temperature_optimum_low.yaml
salt-out strategy	BIOLOGICAL_PROCESS	2	data/traits/environment/halotolerant.yaml|data/traits/environment/nacl_delta.yaml
membrane lipid composition	CELLULAR_LOCALIZATION	2	data/traits/environment/hyperthermophilic.yaml|data/traits/environment/thermophilic.yaml
homoviscous lipid composition	CELLULAR_LOCALIZATION	2	data/traits/environment/mesophilic.yaml|data/traits/environment/temperature_optimum.yaml
cold shock	ENVIRONMENTAL_FACTOR	2	data/traits/environment/mesophilic.yaml|data/traits/environment/temperature_delta_very_low.yaml
cspa cold-shock protein	GENE_OR_PROTEIN	2	data/traits/environment/mesophilic.yaml|data/traits/environment/temperature_delta_very_low.yaml
dnak chaperone	GENE_OR_PROTEIN	2	data/traits/environment/mesophilic.yaml|data/traits/environment/temperature_optimum_mid4.yaml
elevated nacl	ENVIRONMENTAL_FACTOR	2	data/traits/environment/moderately_halophilic.yaml|data/traits/environment/nacl_optimum_mid2.yaml
hypoosmotic shock	ENVIRONMENTAL_FACTOR	2	data/traits/environment/nacl_delta.yaml|data/traits/environment/nacl_range_low.yaml
intracellular k+ accumulation	BIOLOGICAL_PROCESS	2	data/traits/environment/nacl_delta_high.yaml|data/traits/environment/nacl_optimum.yaml
ambient nacl concentration	ENVIRONMENTAL_FACTOR	2	data/traits/environment/nacl_optimum.yaml|data/traits/environment/nacl_range.yaml
cyclopropane fatty acids	CHEMICAL	2	data/traits/environment/obligately_acidophilic.yaml|data/traits/environment/ph_range_low.yaml
trkah k+ uptake system	GENE_OR_PROTEIN	2	data/traits/environment/obligately_alkaphilic.yaml|data/traits/environment/ph_optimum_high.yaml
pyruvate:ferredoxin oxidoreductase (pfor)	GENE_OR_PROTEIN	2	data/traits/environment/obligately_anaerobic.yaml|data/traits/metabolism/reductive_tca_cycle.yaml
proton motive force generation	BIOLOGICAL_PROCESS	2	data/traits/environment/ph_delta.yaml|data/traits/environment/ph_delta_mid2.yaml
electrogenic na+/h+ antiport	BIOLOGICAL_PROCESS	2	data/traits/environment/ph_delta_low.yaml|data/traits/environment/ph_delta_mid3.yaml
f1fo-atpase	GENE_OR_PROTEIN	2	data/traits/environment/ph_delta_low.yaml|data/traits/environment/ph_delta_mid2.yaml
intracellular h+	CHEMICAL	2	data/traits/environment/ph_delta_mid2.yaml|data/traits/environment/ph_phenotype_with_numerical_limits.yaml
amino-acid decarboxylation pathways	PATHWAY	2	data/traits/environment/ph_delta_mid3.yaml|data/traits/environment/ph_optimum_mid1.yaml
environmental ph	ENVIRONMENTAL_FACTOR	2	data/traits/environment/ph_growth_preference.yaml|data/traits/physiology/autotrophic.yaml
external ph	ENVIRONMENTAL_FACTOR	2	data/traits/environment/ph_optimum.yaml|data/traits/environment/ph_range.yaml
internal ph	STATE	2	data/traits/environment/ph_optimum.yaml|data/traits/environment/ph_phenotype_with_numerical_limits.yaml
membrane lipid adaptation	BIOLOGICAL_PROCESS	2	data/traits/environment/piezophilic.yaml|data/traits/environment/piezotolerant.yaml
unsaturated membrane fatty acids	CHEMICAL	2	data/traits/environment/piezotolerant.yaml|data/traits/environment/temperature_preference.yaml
cold-adapted enzymes	GENE_OR_PROTEIN	2	data/traits/environment/psychrophilic.yaml|data/traits/environment/temperature_phenotype_with_numerical_limits.yaml
lipid desaturase activity	MOLECULAR_FUNCTION	2	data/traits/environment/temperature_delta_high.yaml|data/traits/environment/temperature_range.yaml
two-component cold signaling	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_delta_mid1.yaml|data/traits/environment/temperature_range_very_low.yaml
ambient temperature	ENVIRONMENTAL_FACTOR	2	data/traits/environment/temperature_optimum.yaml|data/traits/environment/temperature_range.yaml
positive dna supercoiling	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_optimum_high.yaml|data/traits/environment/thermophilic.yaml
psychrotolerant adaptation	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_optimum_low.yaml|data/traits/environment/temperature_range_low.yaml
protein and membrane stabilization	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_optimum_low.yaml|data/traits/environment/temperature_range_very_low.yaml
ice-binding/antifreeze proteins	GENE_OR_PROTEIN	2	data/traits/environment/temperature_optimum_low.yaml|data/traits/environment/temperature_range_very_low.yaml
branched-chain amino acids	CHEMICAL	2	data/traits/environment/temperature_optimum_mid1.yaml|data/traits/environment/temperature_range_mid1.yaml
baseline mesophile adaptation	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_optimum_mid2.yaml|data/traits/environment/temperature_range_mid2.yaml
upper-mesophile adaptation	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_optimum_mid3.yaml|data/traits/environment/temperature_range_mid3.yaml
liquid-crystalline membrane state	STATE	2	data/traits/environment/temperature_optimum_mid3.yaml|data/traits/environment/temperature_range_mid3.yaml
warm-mesophile adaptation	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_optimum_mid4.yaml|data/traits/environment/temperature_range_mid4.yaml
temperature downshift	ENVIRONMENTAL_FACTOR	2	data/traits/environment/temperature_optimum_mid4.yaml|data/traits/environment/temperature_preference.yaml
rpoh (sigma-32) heat-shock sigma factor	GENE_OR_PROTEIN	2	data/traits/environment/temperature_optimum_mid4.yaml|data/traits/environment/thermotolerant.yaml
psychrophile cold-adapted machinery	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_optimum_very_low.yaml|data/traits/environment/temperature_range_very_low.yaml
cryoprotection	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_optimum_very_low.yaml|data/traits/environment/temperature_range_low.yaml
dna melting	BIOLOGICAL_PROCESS	2	data/traits/environment/temperature_range_high.yaml|data/traits/environment/thermophilic.yaml
elevated temperature	ENVIRONMENTAL_FACTOR	2	data/traits/environment/temperature_range_mid2.yaml|data/traits/environment/thermotolerant.yaml
accessory function	QUALITY	2	data/traits/genomics/genomic_island.yaml|data/traits/genomics/plasmid_carriage.yaml
antibiotic selective pressure	ENVIRONMENTAL_FACTOR	2	data/traits/genomics/mobile_genetic_element.yaml|data/traits/genomics/plasmid_carriage.yaml
phosphate starvation	ENVIRONMENTAL_FACTOR	2	data/traits/genomics/ploidy.yaml|data/traits/morphology/tailed_shaped.yaml
genome size	QUALITY	2	data/traits/genomics/rrna_operon_copy_number.yaml|data/traits/physiology/copiotrophic.yaml
light energy	ENVIRONMENTAL_FACTOR	2	data/traits/metabolism/anoxygenic_photosynthesis.yaml|data/traits/metabolism/photosynthesis.yaml
type i reaction center	GENE_OR_PROTEIN	2	data/traits/metabolism/anoxygenic_photosynthesis.yaml|data/traits/physiology/photoorganoheterotrophic.yaml
endoglucanase	GENE_OR_PROTEIN	2	data/traits/metabolism/biopolymer_degradation.yaml|data/traits/metabolism/cellulolysis.yaml
carboxysomal carbonic anhydrase	GENE_OR_PROTEIN	2	data/traits/metabolism/calvin_benson_bassham_cycle.yaml|data/traits/physiology/photoautotrophic.yaml
calvin-benson-bassham cycle	PATHWAY	2	data/traits/metabolism/carbon_fixation.yaml|data/traits/physiology/mixotrophic.yaml
3-hydroxypropionate/4-hydroxybutyrate cycle	PATHWAY	2	data/traits/metabolism/carbon_fixation.yaml|data/traits/physiology/chemoautotrophic.yaml
atp citrate lyase (aclab)	GENE_OR_PROTEIN	2	data/traits/metabolism/carbon_fixation.yaml|data/traits/metabolism/reductive_tca_cycle.yaml
carbon catabolite repression	BIOLOGICAL_PROCESS	2	data/traits/metabolism/cellulolysis.yaml|data/traits/metabolism/xylan_degradation.yaml
4-hydroxybutyryl-coa dehydratase	GENE_OR_PROTEIN	2	data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml|data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
crotonyl-coa	CHEMICAL	2	data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml|data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
h2 oxidation	BIOLOGICAL_PROCESS	2	data/traits/metabolism/dissimilatory_iron_reduction.yaml|data/traits/physiology/hydrogenotrophic.yaml
extracellular electron transfer	BIOLOGICAL_PROCESS	2	data/traits/metabolism/electron_transfer.yaml|data/traits/metabolism/iron_oxidation.yaml
nadh	CHEMICAL	2	data/traits/metabolism/ethanol_fermentation.yaml|data/traits/metabolism/oxidative_phosphorylation.yaml
substrate-level phosphorylation	BIOLOGICAL_PROCESS	2	data/traits/metabolism/homoacetogenesis.yaml|data/traits/physiology/chemoorganotrophic.yaml
microaerobic conditions	ENVIRONMENTAL_FACTOR	2	data/traits/metabolism/iron_oxidation.yaml|data/traits/physiology/lithoheterotrophic.yaml
multiheme c-type cytochromes	GENE_OR_PROTEIN	2	data/traits/metabolism/iron_oxidation.yaml|data/traits/metabolism/syntrophy.yaml
proton motive force	CHEMICAL	2	data/traits/metabolism/metabolism.yaml|data/traits/metabolism/oxygenic_photosynthesis.yaml
acetate	CHEMICAL	2	data/traits/metabolism/mixed_acid_fermentation.yaml|data/traits/metabolism/propionic_acid_fermentation.yaml
succinate	CHEMICAL	2	data/traits/metabolism/oxidative_phosphorylation.yaml|data/traits/metabolism/propionic_acid_fermentation.yaml
succinyl-coa	CHEMICAL	2	data/traits/metabolism/propionic_acid_fermentation.yaml|data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml
sox enzyme system	GENE_OR_PROTEIN	2	data/traits/metabolism/sulfur_oxidation.yaml|data/traits/physiology/chemolithotrophic.yaml
persulfide dioxygenase (pdo)	GENE_OR_PROTEIN	2	data/traits/metabolism/sulfur_oxidation.yaml|data/traits/morphology/sulfur_globule.yaml
direct interspecies electron transfer	BIOLOGICAL_PROCESS	2	data/traits/metabolism/syntrophy.yaml|data/traits/physiology/lithoheterotrophic.yaml
fipa	GENE_OR_PROTEIN	2	data/traits/morphology/amphitrichous.yaml|data/traits/morphology/lophotrichous.yaml
class a penicillin-binding proteins	GENE_OR_PROTEIN	2	data/traits/morphology/bacillus_shaped.yaml|data/traits/morphology/cell_width_very_small.yaml
pyomelanin	CHEMICAL	2	data/traits/morphology/brown_pigmented.yaml|data/traits/morphology/pigmentation.yaml
isoprenoid precursors	CHEMICAL	2	data/traits/morphology/carotenoid_pigmentation.yaml|data/traits/morphology/pink_pigmented.yaml
adder size control	BIOLOGICAL_PROCESS	2	data/traits/morphology/cell_length.yaml|data/traits/morphology/cell_length_small.yaml
min system and nucleoid occlusion	BIOLOGICAL_PROCESS	2	data/traits/morphology/cell_length.yaml|data/traits/morphology/cell_length_small.yaml
rod complex (elongasome)	PATHWAY	2	data/traits/morphology/cell_length_medium.yaml|data/traits/morphology/cell_shape.yaml
pbp2 transpeptidase activity	MOLECULAR_FUNCTION	2	data/traits/morphology/cell_length_medium.yaml|data/traits/morphology/cell_width_large.yaml
standard growth conditions	ENVIRONMENTAL_FACTOR	2	data/traits/morphology/cell_length_small.yaml|data/traits/morphology/cell_width_medium.yaml
streamlining selection	BIOLOGICAL_PROCESS	2	data/traits/morphology/cell_length_very_small.yaml|data/traits/morphology/cell_width_very_small.yaml
genome streamlining	BIOLOGICAL_PROCESS	2	data/traits/morphology/cell_length_very_small.yaml|data/traits/physiology/nutrient_adaptation.yaml
carbon limitation	ENVIRONMENTAL_FACTOR	2	data/traits/morphology/cell_length_very_small.yaml|data/traits/morphology/peritrichous.yaml
penicillin-binding proteins	GENE_OR_PROTEIN	2	data/traits/morphology/cell_shape.yaml|data/traits/morphology/coccus_shaped.yaml
mreb cytoskeleton	GENE_OR_PROTEIN	2	data/traits/morphology/cell_width.yaml|data/traits/morphology/cell_width_small.yaml
pbp2	GENE_OR_PROTEIN	2	data/traits/morphology/cell_width_medium.yaml|data/traits/morphology/fusiform_shaped.yaml
gpsb	GENE_OR_PROTEIN	2	data/traits/morphology/coccobacillus_shaped.yaml|data/traits/morphology/staphylococcus_arrangement.yaml
ftsz division ring	GENE_OR_PROTEIN	2	data/traits/morphology/coccus_shaped.yaml|data/traits/morphology/sphere_shaped.yaml
inner cell curvature	CELLULAR_LOCALIZATION	2	data/traits/morphology/crescent_shaped.yaml|data/traits/morphology/curved_shaped.yaml
curvature scaffold	GENE_OR_PROTEIN	2	data/traits/morphology/curved_shaped.yaml|data/traits/morphology/spiral_shaped.yaml
cell-body curvature	BIOLOGICAL_PROCESS	2	data/traits/morphology/curved_shaped.yaml|data/traits/morphology/vibrio_shaped.yaml
pbp2b	GENE_OR_PROTEIN	2	data/traits/morphology/ellipsoidal.yaml|data/traits/morphology/oval_shaped.yaml
unipolar peptidoglycan growth	BIOLOGICAL_PROCESS	2	data/traits/morphology/flask_shaped.yaml|data/traits/morphology/tailed_shaped.yaml
cell wall biosynthesis	BIOLOGICAL_PROCESS	2	data/traits/morphology/flask_shaped.yaml|data/traits/morphology/ring_shaped.yaml
gliding motility machinery	GENE_OR_PROTEIN	2	data/traits/morphology/gliding.yaml|data/traits/morphology/motility.yaml
