file	graph_id	node_id	label	accession	status	uniprot_name	organism	replacement	reused_in_n_files
data/traits/morphology/sarcina_arrangement.yaml	sarcina_three_plane_division_packet	ftsz_protein	FtsZ	C0LUM8	unreviewed	FtsZ	Lacticaseibacillus casei		6
data/traits/morphology/sarcina_arrangement.yaml	sarcina_three_plane_division_packet	ftsa_protein	FtsA	A0A1M6DY20	unreviewed	Cell division ATPase FtsA	Pseudobutyrivibrio xylanivorans DSM 14809		1
data/traits/morphology/spirochete_shaped.yaml	spirochete_shaped_periplasmic_flagella	flaB	FlaB	A8WEP6	unreviewed	FlaB	Vibrio harveyi		1
data/traits/morphology/spore_forming.yaml	spore_forming_endospore_assembly	spoIIM	SpoIIM	A5N7K0	unreviewed	SpoIIM	Clostridium kluyveri (strain ATCC 8527 / DSM 555 / NBRC 12016 / NCIMB 10680 / K1)		1
data/traits/morphology/spore_shaped.yaml	spore_shaped_endospore_layers	spovm_protein	SpoVM	A0A2K8N6W1	unreviewed	Stage V sporulation protein SpoVM	Kyrpidia spormannii		1
data/traits/morphology/spore_shaped.yaml	spore_shaped_endospore_layers	spovid_protein	SpoVID	A0A0B5ANC0	unreviewed	Morphogenetic protein associated with SpoVID	Jeotgalibacillus malaysiensis		1
data/traits/morphology/spore_shaped.yaml	spore_shaped_endospore_layers	cote_protein	CotE	D5WPR1	unreviewed	Spore coat protein CotE	Kyrpidia tusciae (strain DSM 2912 / NBRC 15312 / T2)		1
data/traits/morphology/sporulation.yaml	sporulation_spo0a_sigma_morphogenesis	sigma_e	sigma E	A0A0C7NZS0	unreviewed	Positive regulator of sigma E	Defluviitoga tunisiensis		1
data/traits/morphology/staphylococcus_arrangement.yaml	staphylococcus_irregular_division_cluster	ftsz	FtsZ	C0LUM8	unreviewed	FtsZ	Lacticaseibacillus casei		6
data/traits/morphology/tailed_shaped.yaml	tailed_shaped_polar_stalk_growth	roda	RodA	A0A0H2X1V4	unreviewed	Cell wall polymerase	Chlamydia trachomatis serovar A (strain ATCC VR-571B / DSM 19440 / HAR-13)		4
data/traits/morphology/white_pigmented.yaml	white_pigmented_low_chromophore	glmS	GlmS	I6LB50	unreviewed	GlmS	Escherichia coli		1
data/traits/physiology/carboxydotrophic.yaml	carboxydotrophic_co_oxidation	cooa_regulator	CooA	A0A1D7QXJ2	unreviewed	Carbon monoxide-responsive transcriptional activator CooA	Salisediminibacterium beveridgei		1
data/traits/physiology/catalase_activity.yaml	catalase_activity_h2o2_detoxification	perr_regulator	PerR	A0A097ASJ8	unreviewed	Transcriptional regulator PerR	Thermoanaerobacter kivui		1
data/traits/physiology/hydrogenotrophic.yaml	hydrogenotrophic_hydrogen_oxidation_fixation	hydrogenase	hydrogenase	A0A059XQG3	unreviewed	Hydrogenase	Leptospirillum ferriphilum YSK		1
data/traits/physiology/oxidase_activity.yaml	oxidase_activity_terminal_oxidase	cytochrome_c_oxidase	cytochrome c oxidase	A0A075NZN5	unreviewed	Cytochrome C oxidase	Alteromonas australica		2
data/traits/physiology/photoheterotrophic.yaml	photoheterotrophic_light_organic_carbon	proteorhodopsin	proteorhodopsin	A0A1D7QWW9	unreviewed	Proteorhodopsin	Salisediminibacterium beveridgei		2
data/traits/physiology/phototrophic.yaml	phototrophic_light_energy_capture	rhodopsin	rhodopsin	A0A059ZUX4	unreviewed	Rhodopsin	Acidithiobacillus caldus (strain ATCC 51756 / DSM 8584 / KU)		1
data/traits/physiology/quorum_sensing.yaml	quorum_sensing_autoinducer	quorum_quenching_enzyme	quorum-quenching enzyme	G2JHL6	reviewed	Quorum-quenching protein AidA	Acinetobacter baumannii (strain MDR-ZJ06)		1
