record_path	record_id	record_label	grounding_role	grounding_curie	ontology_label	record_label_match	declared_exact_synonyms	missing_exact_synonyms	status	oak_status	source_version
data/traits/metabolism/oxidative_phosphorylation.yaml	METPO:1000803	Oxidative phosphorylation	identifier	METPO:1000803	Oxidative phosphorylation	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/oxidative_phosphorylation.yaml	METPO:1000803	Oxidative phosphorylation	xref	GO:0006119	oxidative phosphorylation	CANONICAL_LABEL	respiratory-chain phosphorylation		EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/metabolism/oxidizes.yaml	METPO:2000016	oxidizes	identifier	METPO:2000016	oxidizes	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/oxygenic_photosynthesis.yaml	traitmech:000034	oxygenic photosynthesis	identifier	traitmech:000034					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/photosynthesis.yaml	traitmech:000038	photosynthesis	identifier	traitmech:000038					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/photosynthesis.yaml	traitmech:000038	photosynthesis	xref	GO:0015979	photosynthesis	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/metabolism/phototrophy.yaml	traitmech:000037	phototrophy	identifier	traitmech:000037					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/produces.yaml	METPO:2000202	produces	identifier	METPO:2000202	produces	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/produces.yaml	METPO:2000202	produces	xref	RO:0003000	produces	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	releases/2025-12-17
data/traits/metabolism/propionic_acid_fermentation.yaml	traitmech:000029	propionic acid fermentation	identifier	traitmech:000029					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/proteolysis.yaml	traitmech:000116	proteolysis	identifier	traitmech:000116					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/proteorhodopsin_phototrophy.yaml	traitmech:000036	proteorhodopsin phototrophy	identifier	traitmech:000036					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/reduces.yaml	METPO:2000017	reduces	identifier	METPO:2000017	reduces	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/reductive_tca_cycle.yaml	traitmech:000021	reductive tricarboxylic acid cycle	identifier	traitmech:000021					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/reductive_tca_cycle.yaml	traitmech:000021	reductive tricarboxylic acid cycle	xref	GO:0019643	reductive tricarboxylic acid cycle	CANONICAL_LABEL	reductive carboxylate cycle | reductive carboxylic acid cycle | reductive citric acid pathway | reductive Kreb's cycle | reductive TCA cycle		EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/metabolism/requires_for_growth.yaml	METPO:2000018	requires for growth	identifier	METPO:2000018	requires for growth	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
