file	graph_id	wired_nodes	components	largest_component	component_sizes
data/traits/environment/nacl_delta_mid2.yaml	nacl_delta_mid2_broad_breadth	13	5	3	3,3,3,2,2
data/traits/environment/nacl_optimum.yaml	nacl_optimum_balanced_osmoadaptation	16	5	8	8,2,2,2,2
data/traits/environment/nacl_optimum_high.yaml	nacl_optimum_high_extreme_halophile	11	2	9	9,2
data/traits/environment/nacl_optimum_low.yaml	nacl_optimum_low_non_halophile_setpoint	11	2	8	8,3
data/traits/environment/nacl_optimum_mid1.yaml	nacl_optimum_mid1_slight_halophile	10	2	7	7,3
data/traits/environment/nacl_optimum_mid2.yaml	nacl_optimum_mid2_moderate_halophile	9	1	9	9
data/traits/environment/nacl_range.yaml	nacl_range_tolerance_breadth	10	1	10	10
data/traits/environment/nacl_range_high.yaml	nacl_range_high_extreme_halophile	10	3	6	6,2,2
data/traits/environment/nacl_range_low.yaml	nacl_range_low_non_halophile	12	5	3	3,3,2,2,2
data/traits/environment/nacl_range_mid1.yaml	nacl_range_mid1_slight_halophile	10	3	6	6,2,2
data/traits/environment/nacl_range_mid2.yaml	nacl_range_mid2_moderate_halophile	10	1	10	10
data/traits/environment/neutrophilic.yaml	neutrophilic_neutral_ph_homeostasis	11	3	7	7,2,2
data/traits/environment/non_halophilic.yaml	non_halophilic_salt_stress_response	12	3	5	5,5,2
data/traits/environment/obligately_acidophilic.yaml	obligately_acidophilic_ph_homeostasis	14	1	14	14
data/traits/environment/obligately_aerobic.yaml	obligate_aerobe_oxygen_respiration	12	3	7	7,3,2
data/traits/environment/obligately_alkaphilic.yaml	obligately_alkaphilic_sodium_cycle_homeostasis	14	2	9	9,5
data/traits/environment/obligately_anaerobic.yaml	obligate_anaerobe_oxygen_toxicity	14	2	10	10,4
data/traits/environment/obligately_piezophilic.yaml	obligate_piezophily_high_pressure_requirement	6	1	6	6
data/traits/environment/optimum_phenotype_with_numerical_limits.yaml	optimum_phenotype_descriptor	14	4	5	5,5,2,2
data/traits/environment/oxygen_preference.yaml	oxygen_preference_o2_availability_axis	13	2	11	11,2
data/traits/environment/ph_delta.yaml	ph_delta_homeostasis_flexibility	11	2	9	9,2
data/traits/environment/ph_delta_high.yaml	ph_delta_high_euryphilic_breadth	14	4	7	7,3,2,2
data/traits/environment/ph_delta_low.yaml	ph_delta_low_limited_breadth	11	4	4	4,3,2,2
data/traits/environment/ph_delta_mid1.yaml	ph_delta_mid1_moderate_breadth	13	4	7	7,2,2,2
data/traits/environment/ph_delta_mid2.yaml	ph_delta_mid2_broad_breadth	15	7	3	3,2,2,2,2,2,2
data/traits/environment/ph_delta_mid3.yaml	ph_delta_mid3_wide_breadth	15	6	3	3,3,3,2,2,2
data/traits/environment/ph_delta_very_low.yaml	ph_delta_very_low_stenotopic	13	6	3	3,2,2,2,2,2
data/traits/environment/ph_growth_preference.yaml	ph_growth_preference_homeostasis	12	1	12	12
data/traits/environment/ph_optimum.yaml	ph_optimum_balanced_homeostasis	12	2	10	10,2
data/traits/environment/ph_optimum_high.yaml	ph_optimum_high_alkaliphile_setpoint	15	5	6	6,3,2,2,2
data/traits/environment/ph_optimum_low.yaml	ph_optimum_low_acidophile_setpoint	12	5	4	4,2,2,2,2
data/traits/environment/ph_optimum_mid1.yaml	ph_optimum_mid1_neutrophile_setpoint	10	1	10	10
data/traits/environment/ph_optimum_mid2.yaml	ph_optimum_mid2_alkaline_tolerant_setpoint	12	3	5	5,4,3
data/traits/environment/ph_phenotype_with_numerical_limits.yaml	ph_phenotype_numerical_axis	15	5	6	6,3,2,2,2
data/traits/environment/ph_range.yaml	ph_range_bounded_homeostasis	11	1	11	11
