# generated by scripts/audit_research_groundings.py from 354 reports; 1733 pairs checked; 467 distinct findings
verdict	curie	claimed_label	ontology_label	replacement_curie	similarity	occurrences
DRIFT	CHEBI:58711	kdo	4-azaniumyl-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate		0.07	1
DRIFT	GO:0008360	peptidoglycan metabolic process	regulation of cell shape		0.08	1
DRIFT	GO:0009522	reduced psaab expression / low psi abundance	photosystem I		0.08	1
DRIFT	ENVO:01000017	environmental factor	sand		0.09	1
DRIFT	CHEBI:64945	muramic acid-δ-lactam	sn-glycero-3-phosphoserine		0.10	1
DRIFT	CHEBI:62174	substrate	alpha-D-ManpNAc-(1-P-6)-alpha-D-ManpNAc-(1-P-6)-alpha-D-ManpNAc		0.11	1
DRIFT	GO:0009523	light	photosystem II		0.11	1
DRIFT	CHEBI:57905	dmsp	dehydroepiandrosterone sulfate(1-)		0.12	1
DRIFT	ENVO:00002006	prosthecae	liquid water		0.13	1
DRIFT	GO:0015990	quinol	electron transport coupled proton transport		0.13	2
DRIFT	GO:0090543	transcription–replication conflict	Flemming body		0.14	1
DRIFT	PATO:0001422	growthrate	dead		0.14	1
DRIFT	ENVO:01001852	light	energy transfer process		0.15	1
DRIFT	GO:0006281	biological process	DNA repair		0.15	1
DRIFT	GO:0009252	spmx	peptidoglycan biosynthetic process		0.15	1
DRIFT	CHEBI:35186	application/function	terpene		0.16	1
DRIFT	CHEBI:62041	mycothiol (msh)	P(1),P(5)-bis(5'-adenosyl) pentaphosphate(5-)		0.16	1
DRIFT	CHEBI:16134	sulfide	ammonia		0.17	1
DRIFT	CHEBI:43729	ectoine	6-[(Z)-2-(2,5-dimethoxyphenyl)ethenyl]-5-methylpyrido[2,3-d]pyrimidine-2,4-diamine		0.17	1
DRIFT	CHEBI:138068	bacillithiol (bsh)	ribonucleoside 5'-diphosphate-alpha-D-glucose(2-)		0.18	1
DRIFT	CHEBI:57945	ec:1.1.1.27 l-lactate dehydrogenase	NADH(2-)		0.18	1
DRIFT	GO:0000156	cpxa–cpxr	phosphorelay response regulator activity		0.18	1
DRIFT	GO:0005727	plasmid	extrachromosomal circular DNA		0.18	1
DRIFT	GO:0016705	fenton reaction	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen		0.18	1
DRIFT	CHEBI:15378	respiratory proton pumps / atpase activity	hydron		0.19	1
DRIFT	CHEBI:33116	substrate	iodine(1+)		0.19	1
DRIFT	CHEBI:35186	chemical class	terpene		0.19	1
DRIFT	CHEBI:39084	ectoine	linkable gefitinib analogue		0.19	1
DRIFT	CHEBI:6697	mecillinam	Mascaroside		0.19	1
DRIFT	GO:0016717	fatty-acid desaturase	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water		0.19	1
DRIFT	CHEBI:15378	inside-positive membrane potential	hydron		0.20	2
DRIFT	CHEBI:57540	ec:1.1.1.27 l-lactate dehydrogenase	NAD(1-)		0.20	1
DRIFT	CHEBI:57540	ec:1.1.1.28 d-lactate dehydrogenase	NAD(1-)		0.20	1
DRIFT	CHEBI:57540	proton motive force	NAD(1-)		0.20	1
DRIFT	CHEBI:62202	pyocyanin	glucosyl-heptosyl-(phosphoheptosyl)2-(KDO)2-lipid A		0.20	1
DRIFT	GO:0005737	go:0046961 proton-transporting atpase activity	cytoplasm		0.20	1
DRIFT	GO:0006885	nhaa/nhab/clca-like antiporters	regulation of pH		0.20	1
DRIFT	GO:0010598	cyclic electron transport	NAD(P)H dehydrogenase complex (plastoquinone)		0.20	2
DRIFT	GO:0042129	root nodule	regulation of T cell proliferation		0.20	1
DRIFT	CHEBI:17517	chemical/metabolite	phosphatidylglycerol		0.21	1
DRIFT	ENVO:00002011	envo:00002011 high temperature environment	fresh water		0.21	1
DRIFT	ENVO:01000179	anoxic environment	desert biome		0.21	1
DRIFT	ENVO:01000796	high-pressure co₂	mass plasma flow		0.21	1
DRIFT	GO:0006979	oxyr	response to oxidative stress		0.21	1
DRIFT	GO:0009401	regulatory	phosphoenolpyruvate-dependent sugar phosphotransferase system		0.21	1
DRIFT	GO:0009409	membrane adaptation + enzyme cold activity + cryoprotectants + chaperones + ros defenses	response to cold		0.21	1
DRIFT	GO:0015977	mtrcab-mediated extracellular electron uptake plus rhodopsin proton pumping	carbon fixation		0.21	1
DRIFT	GO:0019253	atp + nadph	reductive pentose-phosphate cycle		0.21	1
DRIFT	CHEBI:15378	external ph 4–6	hydron		0.22	1
DRIFT	CHEBI:50366	assay boundaries / non-defining proxies	6-methylprednisolone		0.22	1
DRIFT	CHEBI:67078	autoinducer-2 (chebi:67078)	Delta(9)-tetrahydrocannabinolic acid		0.22	1
DRIFT	CHEBI:71190	(p)ppgpp (alarmone)	4-methoxy-4-oxo-3-phenylbutanoate		0.22	1
DRIFT	CHEBI:91398	salmochelin	LSM-1131		0.22	1
DRIFT	ENVO:01001026	hypoxia	electromagnetic radiation		0.22	1
DRIFT	GO:0009288	flic	bacterial-type flagellum		0.22	1
DRIFT	CHEBI:134179	pqs (pseudomonas quinolone signal)	volatile organic compound		0.23	1
DRIFT	CHEBI:15378	acidic environment (envo:00002009)	hydron		0.23	1
DRIFT	CHEBI:15378	hopanoid biosynthesis	hydron		0.23	1
DRIFT	ENVO:01001854	white light exposure	hydrothermal field		0.23	1
DRIFT	GO:0006084	substrate-level phosphorylation during acetate formation	acetyl-CoA metabolic process		0.23	1
DRIFT	GO:0006265	reverse gyrase (label-only; gene/protein)	DNA topological change		0.23	1
DRIFT	GO:0009379	relaxase / trai	Holliday junction helicase complex		0.23	1
DRIFT	GO:0030254	plant-derived organic acids and amino acids	protein secretion by the type III secretion system		0.23	1
DRIFT	CHEBI:17573	dpa / dipicolinic acid	glycyrrhetinate		0.24	1
DRIFT	ENVO:01001039	anoxic environment	highly saline water		0.24	1
DRIFT	ENVO:3100031	osmotic stress	depth of water		0.24	1
DRIFT	GO:0000331	swarming motility	contractile vacuole		0.24	1
DRIFT	GO:0006281	mutation	DNA repair		0.24	1
DRIFT	GO:0015031	sec pathway	protein transport		0.24	1
DRIFT	PATO:0001954	gccontent	subulate		0.24	1
DRIFT	CHEBI:33229	organic compound	vitamin (role)		0.25	1
DRIFT	CHEBI:37554	nadh / fadh2 / nadph	fatty acyl-CoA		0.25	1
DRIFT	CHEBI:52722	peptidoglycan	lactacystin		0.25	1
DRIFT	CHEBI:64722	lipid ii	L-glutaminiumyl group		0.25	1
DRIFT	ENVO:01000220	environmental factor	tropical woodland biome		0.25	1
DRIFT	GO:0009255	repeat-unit assembly	Entner-Doudoroff pathway through 6-phosphogluconate		0.25	1
DRIFT	GO:0019290	isc system	siderophore biosynthetic process		0.25	1
DRIFT	GO:0046813	cell wall anchoring	receptor-mediated virion attachment to host cell		0.25	1
DRIFT	GO:0048038	rnf complex	quinone binding		0.25	1
DRIFT	GO:0065007	environmental filtering	biological regulation		0.25	1
DRIFT	CHEBI:17363	aerobic calvin-cycle chemolithoautotrophs	D-ribulose 5-phosphate		0.26	1
DRIFT	CHEBI:26214	photosystem ii	porphyrins		0.26	1
DRIFT	CHEBI:29375	surfactin	diprotium oxide		0.26	1
DRIFT	CHEBI:67078	autoinducer-2 (ai-2)	Delta(9)-tetrahydrocannabinolic acid		0.26	1
DRIFT	CHEBI:78425	c4-hsl (n-butyryl-l-homoserine lactone)	albiglutide		0.26	1
DRIFT	GO:0006281	mutationalbias	DNA repair		0.26	1
DRIFT	GO:0009860	infection thread	pollen tube growth		0.26	1
DRIFT	GO:0042710	horizontal gene transfer	biofilm formation		0.26	1
DRIFT	GO:0043934	self-assembly	sporulation		0.26	1
DRIFT	GO:0070841	protein aggregation	inclusion body assembly		0.26	1
DRIFT	GO:1901700	cellular process	response to oxygen-containing compound		0.26	1
DRIFT	CHEBI:15378	amino-acid decarboxylation	hydron		0.27	1
DRIFT	CHEBI:15379	o₂ (chebi:15379)	dioxygen		0.27	1
DRIFT	CHEBI:15440	d-xylose	squalene		0.27	1
DRIFT	CHEBI:18009	menaquinone	NADP(+)		0.27	1
DRIFT	ENVO:00000446	microaerobic condition	terrestrial biome		0.27	1
DRIFT	ENVO:00002040	anaerobic condition	wood		0.27	1
DRIFT	GO:0009523	high light	photosystem II		0.27	1
DRIFT	GO:0009847	outgrowth	spore germination		0.27	1
DRIFT	GO:0031469	carboxysome proteins	bacterial microcompartment		0.27	1
DRIFT	GO:0099048	gene/gene cluster	CRISPR-cas system		0.27	1
DRIFT	CHEBI:24402	lipoteichoic acid (lta)	glycosphingolipid		0.28	1
DRIFT	CHEBI:27714	product / intermediate	6-acetyl-2-amino-3,7,8,9-tetrahydropyrimido[4,5-b][1,4]diazepin-4-one		0.28	1
DRIFT	GO:0009409	low temperature / cold environment	response to cold		0.28	1
DRIFT	GO:0019236	geneticdrift	response to pheromone		0.28	1
DRIFT	GO:0019290	suf system	siderophore biosynthetic process		0.28	1
DRIFT	GO:0030089	photosynthetic reaction center l/m complex	phycobilisome		0.28	1
DRIFT	CHEBI:17950	c-di-gmp (cyclic di-gmp)	beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-N-acylsphingosine		0.29	1
DRIFT	CHEBI:18336	xylan	4-(phosphonooxy)-L-threonine		0.29	1
DRIFT	CHEBI:29105	elevated extracellular zn²⁺ exposure	zinc(2+)		0.29	1
DRIFT	CHEBI:50366	resazurin	6-methylprednisolone		0.29	1
DRIFT	CHEBI:57540	ethanol branch (adh step)	NAD(1-)		0.29	1
DRIFT	CHEBI:60144	photosystem ii	poly(2-methyl-2-oxazoline) polymer		0.29	1
DRIFT	CHEBI:63748	rhamnolipids	N-[4-(4-nitrobenzylphosphono)butanoyl]glycine		0.29	1
DRIFT	ENVO:01001023	light	radiation		0.29	1
DRIFT	GO:0000902	lateral elongation	cell morphogenesis		0.29	1
DRIFT	GO:0000902	mreb	cell morphogenesis		0.29	1
DRIFT	GO:0000940	z-ring	outer kinetochore		0.29	1
DRIFT	GO:0015986	energy conversion	proton motive force-driven ATP synthesis		0.29	1
DRIFT	GO:0044038	horizontal gene transfer	cell wall macromolecule biosynthetic process		0.29	1
DRIFT	CHEBI:15378	water oxidation	hydron		0.30	1
DRIFT	CHEBI:16134	elemental mercury, hg(0)	ammonia		0.30	1
DRIFT	CHEBI:28671	n,n′-diacetylchitobiose	cuminaldehyde		0.30	1
DRIFT	CHEBI:59999	chemoorganotrophy (metpo:1000663)	chemical substance		0.30	1
DRIFT	CHEBI:60279	chebi:60279 di-myo-inositol phosphate	5-[3-bromo-4-(dimethylamino)phenyl]-2,2-dimethyl-2,3,5,6-tetrahydrobenzo[a]phenanthridin-4(1H)-one		0.30	2
DRIFT	CHEBI:63533	maltotriose	gonadotropin releasing hormone agonist		0.30	1
DRIFT	CHEBI:64722	lipid ii (full name)	L-glutaminiumyl group		0.30	1
DRIFT	CHEBI:67511	bedaquiline	19(E)-9,18-Didemethoxygardneramine		0.30	1
DRIFT	GO:0005375	copa/cupa p1b1-type atpase	copper ion transmembrane transporter activity		0.30	1
DRIFT	GO:0009252	bactofilin deletion	peptidoglycan biosynthetic process		0.30	1
DRIFT	GO:0019253	hydrogenovibrio strain 104	reductive pentose-phosphate cycle		0.30	1
DRIFT	ENVO:01000207	elevated environmental temperature	mediterranean		0.31	1
DRIFT	ENVO:01001307	nutrient starvation	partially_surrounded_by		0.31	1
DRIFT	GO:0000160	two-component regulatory system	phosphorelay signal transduction system		0.31	1
DRIFT	GO:0015990	cytochrome b6f complex	electron transport coupled proton transport		0.31	1
DRIFT	GO:0019363	respiratory flexibility / switching	pyridine nucleotide biosynthetic process		0.31	1
DRIFT	GO:0019646	3-hydroxypropionate/4-hydroxybutyrate cycle genes	aerobic electron transport chain		0.31	1
DRIFT	GO:0042777	energy conversion	proton motive force-driven plasma membrane ATP synthesis		0.31	1
DRIFT	GO:0045861	camp-dependent catabolite repression	negative regulation of proteolysis		0.31	1
DRIFT	GO:0055080	cellular process	monoatomic cation homeostasis		0.31	1
DRIFT	GO:1902600	rnf (ferredoxin:nad+ oxidoreductase)	proton transmembrane transport		0.31	1
DRIFT	CHEBI:16960	sodium pyruvate (chebi:16960)	ADP-D-ribose		0.32	1
DRIFT	CHEBI:25414	chemical/metabolite	monoatomic monocation		0.32	1
DRIFT	CHEBI:64342	product / intermediate	3-hydroxypicolinic acid		0.32	1
DRIFT	GO:0009593	surface sensing / mechanosensing	detection of chemical stimulus		0.32	1
DRIFT	GO:0015990	proton motive force	electron transport coupled proton transport		0.32	1
DRIFT	GO:0016469	f-type atp synthase	proton-transporting two-sector ATPase complex		0.32	1
DRIFT	GO:0031640	host-cell killing	killing of cells of another organism		0.32	1
DRIFT	GO:0042777	substrate-level phosphorylation	proton motive force-driven plasma membrane ATP synthesis		0.32	1
DRIFT	CHEBI:15378	syntrophy (metpo:1002006)	hydron		0.33	1
DRIFT	CHEBI:15978	chemical/metabolite	sn-glycerol 3-phosphate		0.33	1
DRIFT	CHEBI:16680	tetrahymanol	S-adenosyl-L-homocysteine		0.33	1
DRIFT	CHEBI:18009	extracellular electron transfer	NADP(+)		0.33	1
DRIFT	CHEBI:33019	environment	diphosphate(3-)		0.33	1
DRIFT	CHEBI:35186	pathway edge	terpene		0.33	1
DRIFT	CHEBI:63036	struvite	potassium dihydrogen phosphate		0.33	1
DRIFT	GO:0004556	molecular function	alpha-amylase activity		0.33	1
DRIFT	GO:0009252	rod complex and seds/pbp	peptidoglycan biosynthetic process		0.33	1
DRIFT	GO:0009651	core rehydration	response to salt stress		0.33	1
DRIFT	GO:0015988	proton-motive force generation	energy coupled proton transmembrane transport, against electrochemical gradient		0.33	1
DRIFT	GO:0015990	uncoupler	electron transport coupled proton transport		0.33	1
DRIFT	GO:0044027	horizontal gene transfer	negative regulation of gene expression via chromosomal CpG island methylation		0.33	1
DRIFT	GO:0046933	proton motive force	proton-transporting ATP synthase activity, rotational mechanism		0.33	1
DRIFT	GO:0055086	calcium oscillation	nucleobase-containing small molecule metabolic process		0.33	1
DRIFT	GO:0090150	cotranslationalproteinfolding	establishment of protein localization to membrane		0.33	1
DRIFT	CHEBI:64708	flavin-based electron bifurcation	one-carbon compound		0.34	1
DRIFT	ENVO:01000205	ambient/growth temperature	subtropical		0.34	1
DRIFT	GO:0004768	molecular function	stearoyl-CoA 9-desaturase activity		0.34	1
DRIFT	GO:0015988	chemiosmotic energy conservation	energy coupled proton transmembrane transport, against electrochemical gradient		0.34	1
DRIFT	GO:0036247	riboswitch-mediated regulation	phytochelatin 3 import into vacuole		0.34	1
DRIFT	CHEBI:16240	pyruvate	hydrogen peroxide		0.35	1
DRIFT	CHEBI:26220	exopolysaccharide (eps)	precocenes		0.35	1
DRIFT	CHEBI:57540	proton gradient	NAD(1-)		0.35	1
DRIFT	CHEBI:58199	metabolite	L-homocysteine zwitterion		0.35	1
DRIFT	CHEBI:63863	chemical/metabolite	3'-N-debenzoyltaxol(1+)		0.35	1
DRIFT	GO:0006825	copa/cupa p1b1-type atpase	copper ion transport		0.35	1
DRIFT	GO:0006979	decreased intracellular hydrogen peroxide	response to oxidative stress		0.35	1
DRIFT	GO:0042579	bacterial microcompartment	microbody		0.35	1
DRIFT	CHEBI:18012	anaerobic soluble acceptors	fumaric acid		0.36	1
DRIFT	CHEBI:57540	fermentation pathways	NAD(1-)		0.36	1
DRIFT	CHEBI:60144	plastoquinol (pqh2)	poly(2-methyl-2-oxazoline) polymer		0.36	1
DRIFT	ENVO:01000020	environmental factor	estuarine biome		0.36	1
DRIFT	ENVO:01001322	thermal stress (heat/cold)	estuarine open water lower water column		0.36	1
DRIFT	GO:0003954	molecular function	NADH dehydrogenase activity		0.36	1
DRIFT	CHEBI:35186	phenotype comparison	terpene		0.37	1
DRIFT	CHEBI:63533	product / intermediate	gonadotropin releasing hormone agonist		0.37	1
DRIFT	GO:0004645	molecular function	1,4-alpha-oligoglucan phosphorylase activity		0.37	1
DRIFT	GO:0006879	dps/dpr/mrga iron storage protein	intracellular iron ion homeostasis		0.37	1
DRIFT	GO:0015986	photophosphorylation	proton motive force-driven ATP synthesis		0.37	2
DRIFT	CHEBI:50699	n-glycans	oligosaccharide		0.38	1
DRIFT	CHEBI:57540	nad+ regeneration by fermentation	NAD(1-)		0.38	1
DRIFT	CHEBI:61548	product / intermediate	D-glucopyranose 6-phosphate(2-)		0.38	1
DRIFT	GO:0019363	denitrification	pyridine nucleotide biosynthetic process		0.38	1
DRIFT	GO:0050777	phagocytosis resistance	negative regulation of immune response		0.38	1
DRIFT	CHEBI:29985	chemical/metabolite	L-glutamate(1-)		0.39	1
DRIFT	ENVO:01001050	desiccation	saline sediment environment		0.39	1
DRIFT	GO:0006614	signal peptide-dependent export	SRP-dependent cotranslational protein targeting to membrane		0.39	1
DRIFT	GO:0016491	molecular sieve	oxidoreductase activity		0.39	1
DRIFT	CHEBI:16124	taurocholate	alpha-L-fucosyl-(1->2)-beta-D-galactosyl group		0.40	1
DRIFT	CHEBI:16960	sodium pyruvate	ADP-D-ribose		0.40	1
DRIFT	GO:0006418	trnapool	tRNA aminoacylation for protein translation		0.40	1
DRIFT	GO:0009058	imported organic carbon	biosynthetic process		0.40	1
DRIFT	CHEBI:30851	l-arabinose	keto-phenylpyruvic acid		0.41	1
DRIFT	GO:0006950	protection from environmental stress	response to stress		0.41	1
DRIFT	GO:0009252	lateral elongation	peptidoglycan biosynthetic process		0.41	1
DRIFT	CHEBI:10357	ectoine	(-)-beta-caryophyllene		0.42	1
DRIFT	CHEBI:33526	genomic dna	mannonate		0.42	1
DRIFT	GO:0008360	cell shape determination	regulation of cell shape		0.42	3
DRIFT	GO:0015385	na+/h+ antiporters (go:0015385)	sodium:proton antiporter activity		0.42	3
DRIFT	GO:0098542	complement resistance	defense response to other organism		0.42	1
DRIFT	CHEBI:29033	a. ferrooxidans biomining metabolism	iron(2+)		0.43	1
DRIFT	GO:0005737	low cytosolic ph	cytoplasm		0.43	1
DRIFT	GO:0006950	stringent response (go:0006950)	response to stress		0.43	1
DRIFT	GO:0006979	oxidative stress (go:0006979) / reactive oxygen species	response to oxidative stress		0.43	1
DRIFT	GO:0015986	f-type atp synthase	proton motive force-driven ATP synthesis		0.43	1
DRIFT	CHEBI:16651	otsach gene	(S)-lactate		0.44	1
DRIFT	CHEBI:28885	metabolite	butan-1-ol		0.44	1
