# generated by scripts/audit_research_groundings.py from 354 reports; 1733 pairs checked; 467 distinct findings
verdict	curie	claimed_label	ontology_label	replacement_curie	similarity	occurrences
DRIFT	CHEBI:18012	nitrate / fumarate	fumaric acid		0.54	1
DRIFT	GO:0004556	α-1,4-glucan hydrolysis	alpha-amylase activity		0.54	1
DRIFT	GO:0015986	electron transport chain	proton motive force-driven ATP synthesis		0.54	1
DRIFT	GO:0045259	f-type or v-type atp synthase	proton-transporting ATP synthase complex		0.54	1
DRIFT	CHEBI:6650	malate	malic acid		0.55	1
DRIFT	GO:0044406	interaction with host	adhesion of symbiont to host		0.55	1
DRIFT	CHEBI:34908	uncoupler	pentachloronitrobenzene		0.56	1
DRIFT	GO:0004129	fixnoqp/cbb3 oxidase	cytochrome-c oxidase activity		0.57	1
DRIFT	GO:0016485	post-translational cleavage	protein processing		0.57	1
DRIFT	GO:0044406	host colonization	adhesion of symbiont to host		0.57	1
DRIFT	CHEBI:30887	fumaric acid	isocitric acid		0.58	1
DRIFT	GO:0004791	thioredoxin (trxc/trxa)	thioredoxin-disulfide reductase (NADPH) activity		0.58	1
DRIFT	GO:0032153	divisome	cell division site		0.58	2
DRIFT	GO:0043263	cellulosomalcellulasesystem	cellulosome		0.58	1
DRIFT	GO:0015988	proton motive force / proton electrochemical gradient	energy coupled proton transmembrane transport, against electrochemical gradient		0.60	1
DRIFT	GO:0019288	methylerythritol-phosphate pathway	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway		0.60	1
DRIFT	GO:0045300	fatty-acid desaturase	stearoyl-[ACP] desaturase activity		0.60	1
DRIFT	CHEBI:26710	sodium ion	sodium chloride		0.61	1
DRIFT	CHEBI:57540	nadh reoxidation	NAD(1-)		0.61	1
DRIFT	GO:0042599	magnetosome	lamellar body		0.61	1
DRIFT	CHEBI:15378	proton / hydrogen ion	hydron		0.62	1
DRIFT	CHEBI:15824	sucrose	D-fructose		0.62	1
DRIFT	GO:0006979	oxidative stress response	response to oxidative stress		0.62	2
DRIFT	GO:0044406	adhesin activity	adhesion of symbiont to host		0.62	1
DRIFT	CHEBI:29311	chlorine disinfection	chlorine(.)		0.63	1
DRIFT	CHEBI:36021	cis-vaccenic acid (18:1)	octadec-9-enoic acid		0.63	1
DRIFT	GO:0016042	biological process	lipid catabolic process		0.63	1
DRIFT	GO:0019253	calvin–benson–bassham cycle	reductive pentose-phosphate cycle		0.63	1
DRIFT	GO:0006303	non-homologous end joining	double-strand break repair via nonhomologous end joining		0.64	1
DRIFT	GO:0006633	fatty-acid desaturase (des); fatty-acid biosynthetic process (go:0006633)	fatty acid biosynthetic process		0.64	1
DRIFT	GO:0015891	siderophore-mediated iron uptake	siderophore transport		0.64	1
DRIFT	GO:0016049	microbial growth	cell growth		0.64	1
DRIFT	CHEBI:27888	bacteriochlorophyll a (bchl a)	chlorophyll b		0.65	1
DRIFT	ENVO:01000155	dissolved organic matter	organic material		0.65	1
DRIFT	GO:0006260	dnareplicationrepairmachinery	DNA replication		0.65	1
DRIFT	GO:0008658	peptidoglycan binding	penicillin binding		0.65	1
DRIFT	GO:0015986	proton-motive force	proton motive force-driven ATP synthesis		0.65	1
DRIFT	GO:0008137	nadh dehydrogenase i / complex i	NADH dehydrogenase (ubiquinone) activity		0.66	1
DRIFT	CHEBI:32372	palmitoleic acid (16:1)	palmitoleate		0.67	1
DRIFT	CHEBI:58805	cyclic di-gmp	c-di-GMP(2-)		0.67	1
DRIFT	GO:0003796	autolysin activity	lysozyme activity		0.67	1
DRIFT	GO:0004645	phosphorolysis	1,4-alpha-oligoglucan phosphorylase activity		0.67	1
DRIFT	GO:0009252	septal pg synthesis	peptidoglycan biosynthetic process		0.67	1
DRIFT	GO:0051286	cell pole	cell tip		0.67	1
DRIFT	GO:0071973	bacterial motility	bacterial-type flagellum-dependent cell motility		0.67	1
DRIFT	GO:0071973	flagellar motility	bacterial-type flagellum-dependent cell motility		0.67	1
DRIFT	GO:0006493	o-glycosylation	protein O-linked glycosylation		0.68	1
DRIFT	GO:0008137	cytochrome-o ubiquinol oxidase activity	NADH dehydrogenase (ubiquinone) activity		0.68	1
DRIFT	CHEBI:27888	bacteriochlorophyll a	chlorophyll b		0.69	1
DRIFT	GO:0006885	ph homeostasis	regulation of pH		0.69	1
DRIFT	GO:0009847	conidial germination	spore germination		0.69	1
DRIFT	GO:0030001	mnth transporter	metal ion transport		0.69	1
DRIFT	GO:0030254	type iii secretion system (t3ss) effectors	protein secretion by the type III secretion system		0.69	1
DRIFT	GO:0004563	β-n-acetylhexosaminidase / chitobiase ctb or nagz	beta-N-acetylhexosaminidase activity		0.70	1
DRIFT	GO:0006970	osmotic-stress tolerance	response to osmotic stress		0.70	1
DRIFT	GO:0030254	type iv secretion system (t4ss / mpf)	protein secretion by the type III secretion system		0.70	1
DRIFT	GO:0006272	leading-strand synthesis	leading strand elongation		0.71	1
DRIFT	GO:0006273	lagging-strand synthesis	lagging strand elongation		0.71	1
DRIFT	GO:0000719	dna photoreactivation	photoreactive repair		0.72	1
DRIFT	GO:0004576	phosphoglycosyltransferase activity	oligosaccharyl transferase activity		0.72	1
DRIFT	GO:0009276	spore inner membrane	Gram-negative-bacterium-type cell wall		0.72	1
DRIFT	ENVO:09200014	growthtemperature	temperature of water		0.73	1
DRIFT	CHEBI:18012	fumarate	fumaric acid		0.74	4
DRIFT	GO:0009294	natural transformation	DNA-mediated transformation		0.74	1
DRIFT	GO:1990220	groel–groes	GroEL-GroES complex		0.74	1
DRIFT	CHEBI:15741	succinate	succinic acid		0.75	3
DRIFT	CHEBI:16460	undecaprenyl phosphate	polyprenol phosphate		0.75	1
DRIFT	GO:0000160	two-component signal-transduction system	phosphorelay signal transduction system		0.75	1
DRIFT	GO:0071973	flagellum-dependent motility	bacterial-type flagellum-dependent cell motility		0.75	1
DRIFT	GO:0006400	trnaanticodonmodifications	tRNA modification		0.76	1
DRIFT	GO:0046961	go:0046961 proton-transporting atpase activity	proton-transporting ATPase activity, rotational mechanism		0.76	1
DRIFT	GO:0009269	desiccation resistance	response to desiccation		0.78	1
DRIFT	GO:0016162	nonreducingendcellobiohydrolaseactivity	cellulose 1,4-beta-cellobiosidase activity		0.78	1
DRIFT	GO:0052170	evasion of host immune response	symbiont-mediated suppression of host innate immune response		0.78	1
DRIFT	GO:0006302	double-strand-break exposure	double-strand break repair		0.79	1
DRIFT	GO:0008422	betaglucosidase	beta-glucosidase activity		0.79	1
DRIFT	GO:0015986	atp synthesis coupled to ion gradient	proton motive force-driven ATP synthesis		0.79	1
DRIFT	GO:0019417	sulfur-compound oxidation	sulfur oxidation		0.79	1
DRIFT	GO:0035635	bacterial effector delivery into host cell	entry of bacterium into host cell		0.79	1
DRIFT	CHEBI:17579	β-carotene	beta-carotene		0.80	1
DRIFT	CHEBI:29105	zn²⁺	zinc(2+)		0.80	1
DRIFT	CHEBI:49552	copper(i), cu(i)	copper(1+)		0.80	1
DRIFT	GO:0006313	dna-mediated transposition	DNA transposition		0.80	1
DRIFT	GO:0031160	spore cortex	spore wall		0.80	1
DRIFT	GO:0071555	cell-wall organization/remodeling	cell wall organization		0.80	1
DRIFT	GO:0071577	zinc-ion transport	zinc ion transmembrane transport		0.80	1
DRIFT	GO:0001539	flagellum-dependent motility	cilium or flagellum-dependent cell motility		0.81	1
DRIFT	GO:0030254	hrp type iii secretion system	protein secretion by the type III secretion system		0.81	1
DRIFT	CHEBI:24875	iron ion	iron cation		0.82	1
DRIFT	GO:0000104	succinate dehydrogenase / complex ii	succinate dehydrogenase activity		0.82	1
DRIFT	GO:0006400	trnamodificationenzymes	tRNA modification		0.82	1
DRIFT	GO:0004713	bacterial tyrosine kinase activity	protein tyrosine kinase activity		0.83	1
DRIFT	GO:0009279	cell surface (outer membrane)	cell outer membrane		0.83	1
DRIFT	GO:0004812	aminoacyl-trnasynthetases	aminoacyl-tRNA ligase activity		0.84	1
DRIFT	GO:0019646	aerobic respiratory electron transport chain	aerobic electron transport chain		0.84	1
DRIFT	GO:0005886	plasma/inner membrane	plasma membrane		0.85	1
DRIFT	GO:0010467	geneexpressionlevel	gene expression		0.85	1
DRIFT	CHEBI:28971	amoxicillin	ampicillin		0.86	1
DRIFT	GO:0006487	protein n-glycosylation	protein N-linked glycosylation		0.88	1
DRIFT	GO:0044403	symbiont process	biological process involved in symbiotic interaction		0.90	1
DRIFT	CHEBI:4170	glucose-1-phosphate	D-glucopyranose 6-phosphate		0.91	1
DRIFT	GO:0000724	homologous-recombination dsb repair	double-strand break repair via homologous recombination		0.92	1
DRIFT	GO:0071555	cell-wall organization or biogenesis	cell wall organization		0.92	1
DRIFT	GO:0071973	bacterial-type flagellum-dependent motility	bacterial-type flagellum-dependent cell motility		0.95	1
DRIFT	CHEBI:16488	meso-diaminopimelic acid	meso-2,6-diaminopimelic acid		0.96	1
DRIFT	CHEBI:16810	α-ketoglutarate	2-oxoglutarate(2-)		0.96	1
DRIFT	CHEBI:61548	glucose-6-phosphate	D-glucopyranose 6-phosphate(2-)		0.97	1
DRIFT	GO:0009512	cytochrome b₆f complex	cytochrome b6f complex		0.97	1
DRIFT	GO:0015986	atp synthesis coupled to proton transport	proton motive force-driven ATP synthesis		0.97	2
DRIFT	CHEBI:15637	10-formyl-tetrahydrofolate	10-formyltetrahydrofolic acid		1.00	1
DRIFT	CHEBI:15641	5-methyl-tetrahydrofolate	5-methyltetrahydrofolic acid		1.00	1
DRIFT	CHEBI:18066	udp-α-d-glucose	UDP-D-glucose		1.00	1
DRIFT	CHEBI:1989	5,10-methylene-tetrahydrofolate	(6R)-5,10-methylenetetrahydrofolic acid		1.00	1
DRIFT	CHEBI:49883	[4fe–4s] cluster	tetra-mu3-sulfido-tetrairon		1.00	1
DRIFT	CHEBI:57540	nad+	NAD(1-)		1.00	1
DRIFT	CHEBI:62967	amorphouscellulose	amorphous cellulose		1.00	1
DRIFT	CHEBI:62968	crystallinecellulose	crystalline cellulose		1.00	1
DRIFT	GO:0003700	dna-binding transcription-factor activity	DNA-binding transcription factor activity		1.00	1
DRIFT	GO:0006099	tricarboxylic-acid cycle	tricarboxylic acid cycle		1.00	2
DRIFT	GO:0006402	mrnadecay	mRNA catabolic process		1.00	1
DRIFT	GO:0006413	translationinitiation	translational initiation		1.00	1
DRIFT	GO:0006414	translationelongation	translational elongation		1.00	1
DRIFT	GO:0006633	fatty-acid biosynthetic process	fatty acid biosynthetic process		1.00	1
DRIFT	GO:0006636	fatty-acid desaturation	unsaturated fatty acid biosynthetic process		1.00	1
DRIFT	GO:0006636	unsaturated-fatty-acid biosynthesis	unsaturated fatty acid biosynthetic process		1.00	1
DRIFT	GO:0006813	potassium-ion transport	potassium ion transport		1.00	3
DRIFT	GO:0006825	copper-ion transport	copper ion transport		1.00	1
DRIFT	GO:0006882	cellular zinc-ion homeostasis	intracellular zinc ion homeostasis		1.00	1
DRIFT	GO:0008422	betaglucosidaseactivity	beta-glucosidase activity		1.00	1
DRIFT	GO:0008652	amino-acid biosynthesis	amino acid biosynthetic process		1.00	1
DRIFT	GO:0008652	amino-acid biosynthetic process	amino acid biosynthetic process		1.00	1
DRIFT	GO:0008810	endoglucanaseactivity	cellulase activity		1.00	1
DRIFT	GO:0009055	electron-transfer activity	electron transfer activity		1.00	1
DRIFT	GO:0009435	nad⁺ biosynthesis	NAD+ biosynthetic process		1.00	2
DRIFT	GO:0009654	oxygen-evolving complex	photosystem II oxygen evolving complex		1.00	1
DRIFT	GO:0009654	photosystem ii / oxygen-evolving complex	photosystem II oxygen evolving complex		1.00	1
DRIFT	GO:0030014	ccr4-notcomplex	CCR4-NOT complex		1.00	1
DRIFT	GO:0051082	unfolded-protein binding	unfolded protein binding		1.00	1
UNKNOWN_PREFIX	EFO:0005092	crispr interference			0.00	1
UNKNOWN_PREFIX	RO:0002327	1			0.00	1
UNKNOWN_PREFIX	RO:0002327	[ro:0002327](https://www.ebi.ac.uk/ols4/ontologies/ro/classes/http%253a%252f%252fpurl.obolibrary.org%252fobo%252fro0002327)			0.00	1
UNKNOWN_PREFIX	SO:0000101	transposable element			0.00	1
UNKNOWN_PREFIX	SO:0000155	plasmid			0.00	1
UNKNOWN_PREFIX	SO:0000336	pseudogene			0.00	1
UNKNOWN_PREFIX	SO:0000418	signal peptide			0.00	1
UNKNOWN_PREFIX	SO:0000771	genomic island			0.00	1
UNKNOWN_PREFIX	SO:0001263	rrnaoperoncopynumber			0.00	1
UNKNOWN_PREFIX	SO:0001272	trnagenecopynumber			0.00	1
