metpo_curie	label	category	match_method	n_kgm_nodes	kgm_nodes
traitmech:000079	oxidative stress response	physiology	no_match	0	
traitmech:000082	persister cell formation	physiology	no_match	0	
METPO:1000656	photoautotrophic	physiology	direct_metpo	1	METPO:1000656
METPO:1000657	photoheterotrophic	physiology	direct_metpo	1	METPO:1000657
METPO:1000665	photolithoautotrophic	physiology	direct_metpo	1	METPO:1000665
METPO:1000658	photolithotrophic	physiology	direct_metpo	1	METPO:1000658
METPO:1000659	photoorganoheterotrophic	physiology	direct_metpo	1	METPO:1000659
METPO:1000660	phototrophic	physiology	direct_metpo	1	METPO:1000660
traitmech:000084	quorum sensing	physiology	no_match	0	
traitmech:000083	spore germination	physiology	no_match	0	
traitmech:000078	stress response	physiology	no_match	0	
METPO:1000631	trophic type	physiology	direct_metpo	1	METPO:1000631
traitmech:000077	urease activity	physiology	no_match	0	
traitmech:000081	viable but nonculturable state	physiology	no_match	0	
METPO:2000060	has maximum observed value	quantitative_property	no_match	0	
METPO:2000059	has minimum observed value	quantitative_property	no_match	0	
METPO:2000058	has observed spot value	quantitative_property	no_match	0	
METPO:2000071	has value	quantitative_property	no_match	0	
METPO:2000061	has value comments	quantitative_property	no_match	0	
METPO:2000062	is negative data	quantitative_property	no_match	0	
METPO:2000063	observation data property	quantitative_property	no_match	0	
METPO:1000630	biological process	upper	direct_metpo	1	METPO:1000630
METPO:1000526	chemical entity	upper	direct_metpo	1	METPO:1000526
METPO:1000527	enzyme	upper	direct_metpo	1	METPO:1000527
METPO:1000186	material entity	upper	direct_metpo	1	METPO:1000186
METPO:1000525	microbe	upper	direct_metpo	1	METPO:1000525
METPO:1001000	observation	upper	direct_metpo	1	METPO:1001000
METPO:1000059	phenotype	upper	direct_metpo	1	METPO:1000059
METPO:1000188	quality	upper	direct_metpo	1	METPO:1000188
